import time: self [us] | cumulative | imported package
import time:       284 |        284 |   _io
import time:        48 |         48 |   marshal
import time:       467 |        467 |   posix
import time:       998 |       1795 | _frozen_importlib_external
import time:       148 |        148 |   time
import time:       316 |        463 | zipimport
import time:        85 |         85 |     _codecs
import time:       868 |        952 |   codecs
import time:      1413 |       1413 |   encodings.aliases
import time:      1495 |       3859 | encodings
import time:      1281 |       1281 | encodings.utf_8
import time:       163 |        163 | _signal
import time:        53 |         53 |     _abc
import time:       261 |        313 |   abc
import time:       248 |        560 | io
import time:        89 |         89 |       _stat
import time:       178 |        266 |     stat
import time:      1379 |       1379 |     _collections_abc
import time:        95 |         95 |       errno
import time:       145 |        145 |       genericpath
import time:       254 |        493 |     posixpath
import time:       771 |       2907 |   os
import time:       146 |        146 |   _sitebuiltins
import time:       144 |        144 |         itertools
import time:       614 |        614 |         keyword
import time:        69 |         69 |           _operator
import time:       670 |        739 |         operator
import time:       394 |        394 |         reprlib
import time:        66 |         66 |         _collections
import time:      1380 |       3333 |       collections
import time:        49 |         49 |       _functools
import time:      2279 |       5660 |     functools
import time:      1333 |       6993 |   sitecustomize
import time:        53 |         53 |   usercustomize
import time:       661 |      10758 | site
import time:       407 |        407 | linecache
import time:       204 |        204 |   __future__
import time:       224 |        224 |           types
import time:       620 |        843 |         contextlib
import time:      1613 |       1613 |           enum
import time:        75 |         75 |             _sre
import time:       302 |        302 |               re._constants
import time:       420 |        722 |             re._parser
import time:       121 |        121 |             re._casefix
import time:       412 |       1328 |           re._compiler
import time:       182 |        182 |           copyreg
import time:       593 |       3716 |         re
import time:       158 |        158 |         fnmatch
import time:       436 |       5151 |       glob
import time:       721 |       5872 |     pathlib._abc
import time:        61 |         61 |         _winapi
import time:        47 |         47 |         nt
import time:        42 |         42 |         nt
import time:        43 |         43 |         nt
import time:        40 |         40 |         nt
import time:        39 |         39 |         nt
import time:        39 |         39 |         nt
import time:        37 |         37 |         nt
import time:       246 |        589 |       ntpath
import time:       303 |        303 |       warnings
import time:        43 |         43 |       pwd
import time:       354 |        354 |       grp
import time:       676 |       1964 |     pathlib._local
import time:       167 |       8003 |   pathlib
import time:        58 |         58 |   flask
import time:      4321 |      12583 | app
import time:       911 |        911 |   textwrap
import time:       273 |        273 |   _colorize
import time:       877 |       2060 | traceback
import time:      1361 |       1361 |   token
import time:        49 |         49 |   _tokenize
import time:      1311 |       2719 | tokenize
Traceback (most recent call last):
import time:       169 |        169 |   _ast
import time:      2310 |       2479 | ast
  File "<string>", line 1, in <module>
    import app
  File "/home/asura/Downloads/botty/botty/personal-ai-bot-builder/app.py", line 5, in <module>
    from flask import Flask, flash, jsonify, redirect, render_template, request, url_for
ModuleNotFoundError: No module named 'flask'
